BatterID,Season,BatterTeam,FB,GB,IFFB,LD,Center,Oppo,Pull,Barrel,FlareBurner,SolidContact,Topped,Under,Weak,xwOBAcon
112526,2015,NYM,2.0,27.0,3.0,7.0,15.0,16.0,8.0,0.0,9.0,0.0,18.0,4.0,0.0,0.2693548387096774
112526,2016,NYM,3.0,13.0,4.0,4.0,5.0,10.0,9.0,0.0,4.0,0.0,7.0,7.0,1.0,0.23273684210526313
112526,2017,ATL,1.0,4.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,2.0,1.0,0.15933333333333335
112526,2017,MIN,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.088
112526,2018,TEX,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.081
116338,2015,MIN,95.0,208.0,30.0,88.0,115.0,125.0,176.0,21.0,91.0,22.0,164.0,103.0,12.0,0.3288062953995157
120074,2015,BOS,113.0,166.0,36.0,127.0,126.0,104.0,211.0,58.0,110.0,37.0,120.0,106.0,7.0,0.4843082191780822
120074,2016,BOS,130.0,155.0,40.0,133.0,119.0,92.0,246.0,71.0,95.0,37.0,112.0,125.0,4.0,0.48186936936936936
121347,2015,NYY,96.0,168.0,25.0,96.0,113.0,87.0,165.0,42.0,78.0,31.0,135.0,91.0,4.0,0.44971916010498686
121347,2016,NYY,36.0,74.0,13.0,38.0,43.0,49.0,69.0,12.0,35.0,9.0,56.0,42.0,6.0,0.38309375
133380,2015,MIL,53.0,86.0,23.0,78.0,65.0,73.0,102.0,10.0,59.0,11.0,70.0,77.0,9.0,0.32776694915254234
133380,2015,PIT,48.0,69.0,13.0,42.0,53.0,50.0,65.0,13.0,37.0,16.0,51.0,48.0,5.0,0.34613529411764704
134181,2015,TEX,94.0,216.0,39.0,161.0,160.0,145.0,197.0,28.0,134.0,40.0,172.0,120.0,11.0,0.3842910891089109
134181,2016,TEX,125.0,214.0,50.0,131.0,133.0,152.0,225.0,44.0,130.0,29.0,157.0,145.0,11.0,0.3878003875968992
134181,2017,TEX,72.0,127.0,18.0,77.0,96.0,69.0,118.0,17.0,76.0,19.0,91.0,75.0,14.0,0.3822945205479452
134181,2018,TEX,88.0,135.0,18.0,104.0,95.0,121.0,127.0,22.0,96.0,24.0,108.0,89.0,5.0,0.38282558139534884
136860,2015,NYY,106.0,147.0,34.0,112.0,116.0,91.0,184.0,23.0,109.0,30.0,111.0,111.0,7.0,0.38422250639386185
136860,2016,NYY,72.0,118.0,30.0,73.0,73.0,70.0,147.0,25.0,73.0,9.0,93.0,86.0,3.0,0.38127681660899654
136860,2016,TEX,29.0,75.0,10.0,48.0,28.0,40.0,86.0,6.0,43.0,9.0,63.0,38.0,3.0,0.35140123456790123
136860,2017,HOU,90.0,163.0,33.0,85.0,100.0,77.0,178.0,17.0,91.0,20.0,125.0,108.0,10.0,0.3332991913746631
