PitcherID,Season,PitcherTeam,FB,GB,IFFB,LD,Center,Oppo,Pull,Barrel,FlareBurner,SolidContact,Topped,Under,Weak,xwOBAcon
112526,2015,NYM,151.0,287.0,37.0,176.0,195.0,220.0,236.0,35.0,169.0,33.0,223.0,158.0,15.0,0.36761453396524485
112526,2016,NYM,139.0,283.0,40.0,166.0,175.0,203.0,250.0,33.0,169.0,39.0,202.0,148.0,15.0,0.36531023102310234
112526,2017,ATL,43.0,112.0,15.0,66.0,65.0,77.0,82.0,17.0,62.0,16.0,75.0,49.0,11.0,0.39971739130434786
112526,2017,MIN,86.0,119.0,19.0,63.0,82.0,95.0,107.0,21.0,64.0,24.0,78.0,86.0,12.0,0.3766350877192982
112526,2018,TEX,129.0,224.0,29.0,137.0,157.0,115.0,243.0,39.0,129.0,45.0,168.0,118.0,19.0,0.40116409266409264
115629,2015,COL,14.0,37.0,2.0,12.0,21.0,22.0,22.0,3.0,12.0,2.0,31.0,11.0,1.0,0.32766666666666666
115629,2015,TOR,8.0,30.0,5.0,13.0,19.0,18.0,19.0,3.0,19.0,2.0,18.0,10.0,1.0,0.38786792452830193
136600,2015,CLE,5.0,16.0,0.0,9.0,9.0,10.0,11.0,5.0,9.0,2.0,9.0,2.0,1.0,0.5962857142857143
150116,2015,DET,21.0,54.0,6.0,36.0,29.0,38.0,50.0,6.0,35.0,9.0,40.0,21.0,2.0,0.4226814159292035
150274,2016,CHC,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.39675
150274,2016,SF,6.0,3.0,0.0,2.0,1.0,4.0,2.0,0.0,2.0,1.0,1.0,7.0,0.0,0.20927272727272728
150302,2015,CIN,28.0,80.0,6.0,50.0,38.0,50.0,76.0,4.0,48.0,9.0,58.0,29.0,1.0,0.35473825503355705
150359,2015,PIT,70.0,273.0,20.0,133.0,121.0,146.0,229.0,24.0,134.0,24.0,205.0,80.0,12.0,0.3747390396659708
217096,2015,OAK,7.0,12.0,2.0,8.0,6.0,10.0,13.0,5.0,6.0,0.0,10.0,6.0,2.0,0.47089655172413797
218596,2015,SF,57.0,238.0,16.0,106.0,108.0,112.0,197.0,20.0,105.0,13.0,176.0,58.0,8.0,0.3671342105263158
234194,2015,NYM,6.0,11.0,1.0,7.0,9.0,8.0,8.0,0.0,6.0,4.0,9.0,6.0,0.0,0.36107999999999996
276351,2015,ATL,26.0,23.0,11.0,25.0,24.0,29.0,31.0,4.0,23.0,7.0,18.0,30.0,1.0,0.38166265060240967
276351,2016,ATL,20.0,9.0,2.0,13.0,13.0,18.0,13.0,1.0,12.0,5.0,6.0,18.0,0.0,0.374547619047619
276351,2016,TOR,28.0,32.0,7.0,25.0,24.0,34.0,34.0,9.0,22.0,3.0,25.0,30.0,2.0,0.4058021978021978
276351,2017,TEX,14.0,10.0,8.0,22.0,12.0,21.0,18.0,2.0,18.0,3.0,4.0,20.0,7.0,0.4111481481481482
276351,2017,TOR,17.0,22.0,6.0,18.0,17.0,15.0,27.0,8.0,16.0,8.0,17.0,12.0,1.0,0.5223225806451613
276514,2015,CIN,6.0,13.0,2.0,11.0,12.0,9.0,11.0,4.0,10.0,3.0,7.0,6.0,2.0,0.51990625
276520,2017,CIN,78.0,82.0,22.0,74.0,74.0,58.0,122.0,26.0,64.0,12.0,56.0,81.0,6.0,0.40991020408163265
276542,2015,SD,34.0,79.0,15.0,38.0,39.0,56.0,67.0,8.0,30.0,4.0,57.0,46.0,11.0,0.31775000000000003
276542,2016,SEA,15.0,29.0,6.0,17.0,10.0,21.0,36.0,3.0,17.0,1.0,21.0,21.0,2.0,0.3157846153846154
276542,2016,TOR,15.0,23.0,6.0,16.0,14.0,20.0,26.0,3.0,20.0,5.0,14.0,16.0,2.0,0.36415000000000003
